,direction,age,sex,year,estimate
0,Arrivals,0-4 years,Female,2001,3385
1,Arrivals,0-4 years,Female,2002,3775
2,Arrivals,0-4 years,Female,2003,3678
3,Arrivals,0-4 years,Female,2004,3437
4,Arrivals,0-4 years,Female,2005,3448
5,Arrivals,0-4 years,Female,2006,3773
6,Arrivals,0-4 years,Female,2007,3865
7,Arrivals,0-4 years,Female,2008,4034
8,Arrivals,0-4 years,Female,2009,3637
9,Arrivals,0-4 years,Female,2010,3124
10,Arrivals,0-4 years,Female,2011,3229
11,Arrivals,0-4 years,Female,2012,3300
12,Arrivals,0-4 years,Female,2013,3733
13,Arrivals,0-4 years,Female,2014,4069
14,Arrivals,0-4 years,Female,2015,4400
15,Arrivals,0-4 years,Female,2016,4801
16,Arrivals,0-4 years,Female,2017,4705
17,Arrivals,0-4 years,Female,2018,4422
18,Arrivals,0-4 years,Female,2019,4655
19,Arrivals,0-4 years,Female,2020,2797
20,Arrivals,0-4 years,Female,2021,2321
21,Arrivals,0-4 years,Female,2022,3737
22,Arrivals,0-4 years,Female,2023,4494
23,Arrivals,0-4 years,Male,2001,3561
24,Arrivals,0-4 years,Male,2002,3927
25,Arrivals,0-4 years,Male,2003,3961
26,Arrivals,0-4 years,Male,2004,3619
27,Arrivals,0-4 years,Male,2005,3738
28,Arrivals,0-4 years,Male,2006,3930
29,Arrivals,0-4 years,Male,2007,4053
30,Arrivals,0-4 years,Male,2008,4327
31,Arrivals,0-4 years,Male,2009,3803
32,Arrivals,0-4 years,Male,2010,3255
33,Arrivals,0-4 years,Male,2011,3294
34,Arrivals,0-4 years,Male,2012,3544
35,Arrivals,0-4 years,Male,2013,3897
36,Arrivals,0-4 years,Male,2014,4330
37,Arrivals,0-4 years,Male,2015,4526
38,Arrivals,0-4 years,Male,2016,4976
39,Arrivals,0-4 years,Male,2017,5011
40,Arrivals,0-4 years,Male,2018,4835
41,Arrivals,0-4 years,Male,2019,5129
42,Arrivals,0-4 years,Male,2020,3010
43,Arrivals,0-4 years,Male,2021,2426
44,Arrivals,0-4 years,Male,2022,3845
45,Arrivals,0-4 years,Male,2023,4686
46,Arrivals,0-4 years,TOTAL,2001,6946
47,Arrivals,0-4 years,TOTAL,2002,7702
48,Arrivals,0-4 years,TOTAL,2003,7639
49,Arrivals,0-4 years,TOTAL,2004,7056
50,Arrivals,0-4 years,TOTAL,2005,7186
51,Arrivals,0-4 years,TOTAL,2006,7703
52,Arrivals,0-4 years,TOTAL,2007,7918
53,Arrivals,0-4 years,TOTAL,2008,8361
54,Arrivals,0-4 years,TOTAL,2009,7440
55,Arrivals,0-4 years,TOTAL,2010,6379
56,Arrivals,0-4 years,TOTAL,2011,6523
57,Arrivals,0-4 years,TOTAL,2012,6844
58,Arrivals,0-4 years,TOTAL,2013,7630
59,Arrivals,0-4 years,TOTAL,2014,8399
60,Arrivals,0-4 years,TOTAL,2015,8926
61,Arrivals,0-4 years,TOTAL,2016,9777
62,Arrivals,0-4 years,TOTAL,2017,9716
63,Arrivals,0-4 years,TOTAL,2018,9257
64,Arrivals,0-4 years,TOTAL,2019,9784
65,Arrivals,0-4 years,TOTAL,2020,5807
66,Arrivals,0-4 years,TOTAL,2021,4747
67,Arrivals,0-4 years,TOTAL,2022,7580
68,Arrivals,0-4 years,TOTAL,2023,9181
69,Arrivals,10-14 years,Female,2001,3701
70,Arrivals,10-14 years,Female,2002,4379
71,Arrivals,10-14 years,Female,2003,3936
72,Arrivals,10-14 years,Female,2004,3166
73,Arrivals,10-14 years,Female,2005,3290
74,Arrivals,10-14 years,Female,2006,3396
75,Arrivals,10-14 years,Female,2007,3407
76,Arrivals,10-14 years,Female,2008,3444
77,Arrivals,10-14 years,Female,2009,3040
78,Arrivals,10-14 years,Female,2010,2540
79,Arrivals,10-14 years,Female,2011,2350
80,Arrivals,10-14 years,Female,2012,2280
81,Arrivals,10-14 years,Female,2013,2325
82,Arrivals,10-14 years,Female,2014,2667
83,Arrivals,10-14 years,Female,2015,2836
84,Arrivals,10-14 years,Female,2016,3242
85,Arrivals,10-14 years,Female,2017,3254
86,Arrivals,10-14 years,Female,2018,3207
87,Arrivals,10-14 years,Female,2019,3688
88,Arrivals,10-14 years,Female,2020,2070
89,Arrivals,10-14 years,Female,2021,1418
90,Arrivals,10-14 years,Female,2022,3166
91,Arrivals,10-14 years,Female,2023,4854
92,Arrivals,10-14 years,Male,2001,4090
93,Arrivals,10-14 years,Male,2002,4841
94,Arrivals,10-14 years,Male,2003,4193
95,Arrivals,10-14 years,Male,2004,3504
96,Arrivals,10-14 years,Male,2005,3448
97,Arrivals,10-14 years,Male,2006,3765
98,Arrivals,10-14 years,Male,2007,3704
99,Arrivals,10-14 years,Male,2008,3708
100,Arrivals,10-14 years,Male,2009,3140
101,Arrivals,10-14 years,Male,2010,2737
102,Arrivals,10-14 years,Male,2011,2483
103,Arrivals,10-14 years,Male,2012,2489
104,Arrivals,10-14 years,Male,2013,2514
105,Arrivals,10-14 years,Male,2014,2780
106,Arrivals,10-14 years,Male,2015,3142
107,Arrivals,10-14 years,Male,2016,3511
108,Arrivals,10-14 years,Male,2017,3467
109,Arrivals,10-14 years,Male,2018,3486
110,Arrivals,10-14 years,Male,2019,3881
111,Arrivals,10-14 years,Male,2020,2177
112,Arrivals,10-14 years,Male,2021,1511
113,Arrivals,10-14 years,Male,2022,3325
114,Arrivals,10-14 years,Male,2023,5123
115,Arrivals,10-14 years,TOTAL,2001,7791
116,Arrivals,10-14 years,TOTAL,2002,9220
117,Arrivals,10-14 years,TOTAL,2003,8129
118,Arrivals,10-14 years,TOTAL,2004,6670
119,Arrivals,10-14 years,TOTAL,2005,6738
120,Arrivals,10-14 years,TOTAL,2006,7161
121,Arrivals,10-14 years,TOTAL,2007,7111
122,Arrivals,10-14 years,TOTAL,2008,7152
123,Arrivals,10-14 years,TOTAL,2009,6180
124,Arrivals,10-14 years,TOTAL,2010,5277
125,Arrivals,10-14 years,TOTAL,2011,4833
126,Arrivals,10-14 years,TOTAL,2012,4769
127,Arrivals,10-14 years,TOTAL,2013,4839
128,Arrivals,10-14 years,TOTAL,2014,5447
129,Arrivals,10-14 years,TOTAL,2015,5978
130,Arrivals,10-14 years,TOTAL,2016,6753
131,Arrivals,10-14 years,TOTAL,2017,6721
132,Arrivals,10-14 years,TOTAL,2018,6693
133,Arrivals,10-14 years,TOTAL,2019,7569
134,Arrivals,10-14 years,TOTAL,2020,4247
135,Arrivals,10-14 years,TOTAL,2021,2929
136,Arrivals,10-14 years,TOTAL,2022,6490
137,Arrivals,10-14 years,TOTAL,2023,9978
138,Arrivals,15-19 years,Female,2001,7079
139,Arrivals,15-19 years,Female,2002,8185
140,Arrivals,15-19 years,Female,2003,5918
141,Arrivals,15-19 years,Female,2004,4202
142,Arrivals,15-19 years,Female,2005,3993
143,Arrivals,15-19 years,Female,2006,4116
144,Arrivals,15-19 years,Female,2007,4346
145,Arrivals,15-19 years,Female,2008,4807
146,Arrivals,15-19 years,Female,2009,4744
147,Arrivals,15-19 years,Female,2010,4424
