Country,Total
Oceania,1331987
Antarctica,245
American Samoa,2412
Australia,1057127
Cocos Islands,0
Cook Islands,28508
Christmas Island,21
Fiji,66757
Micronesia,265
Guam,340
Kiribati,1852
Marshall Islands,281
Northern Mariana Islands,62
New Caledonia,1967
Norfolk Island,2811
Nauru,1183
Niue,6441
New Zealand,33093
French Polynesia,1430
Papua New Guinea,22198
Pitcairn Island,213
Palau,74
Solomon Islands,4438
French Southern Territories,8
Tokelau,2929
Tonga,24502
Tuvalu,1241
Vanuatu,3710
Wallis and Futuna,31
Samoa,67848
Asia,795697
Afghanistan,1644
Armenia,64
Azerbaijan,105
Bangladesh,4884
Brunei Darussalam,4027
Bhutan,289
China,170781
Georgia,118
Hong Kong,54460
Indonesia,15408
India,125235
Japan,97822
Kyrgyzstan,150
Cambodia,6175
North Korea,71
South Korea,58748
Kazakhstan,603
Laos,913
Sri Lanka,14169
Myanmar,653
Mongolia,362
Macau,1189
Maldives,655
Malaysia,48486
Nepal,4106
Philippines,51659
Pakistan,7789
Singapore,42956
Thailand,28159
Tajikistan,96
Timor-Leste,422
Turkmenistan,15
Taiwan,40242
Uzbekistan,222
Vietnam,13020
Europe,1044693
Andorra,84
Albania,178
Austria,3867
Bosnia and Herzegovina,324
Belgium,4710
Bulgaria,792
Belarus,255
Switzerland,13831
Czechoslovakia,101
Cyprus,655
Czechia,6191
East Germany,9
Germany,56298
Denmark,5333
Estonia,377
Spain,5962
Finland,2499
Faeroe Islands,42
France,34413
United Kingdom,789223
Gibraltar,133
Greenland,59
Greece,3762
Croatia,2150
Hungary,1430
Ireland,32215
Iceland,844
Italy,8127
Kosovo,69
Liechtenstein,15
Lithuania,105
Luxembourg,304
Latvia,407
Monaco,88
Moldova,97
Montenegro,18
Macedonia,1228
Malta,432
Netherlands,30703
Norway,3819
Poland,1917
Portugal,751
Romania,2194
Serbia,406
Russia,7784
Sweden,9205
Slovenia,520
Slovakia,688
San Marino,2
USSR,4366
Ukraine,1803
Vatican City,6
Yugoslavia/Serbia and Montenegro,3900
Americas,267137
Antigua and Barbuda,91
Anguilla,17
Netherlands Antilles,85
Argentina,8188
Aruba,10
Barbados,339
Bermuda,897
Bolivia,671
Brazil,6181
Bahamas,293
Belize,126
Canada,70210
Chile,8726
Colombia,1278
Costa Rica,518
Cuba,72
Curacao,10
Dominica,40
Dominican Republic,64
Ecuador,1141
Falkland Islands,375
Grenada,34
French Guiana,10
Guadeloupe,36
South Georgia and the South Sandwich Islands,3
Guatemala,281
Guyana,121
Honduras,139
Haiti,29
Jamaica,371
St Kitts and Nevis,27
Cayman Islands,587
St Lucia,104
Martinique,12
Montserrat,17
Mexico,3203
Nicaragua,92
Panama,180
Peru,1450
St Pierre and Miquelon,1
Puerto Rico,72
Paraguay,356
Suriname,41
El Salvador,122
St Maarten,10
Turks and Caicos,92
Trinidad and Tobago,249
US Minor Outlying Islands,27
United States of America,157637
Uruguay,1695
St Vincent and the Grenadines,61
Venezuela,525
British Virgin Islands,187
US Virgin Islands,34
Africa and the Middle East,149784
UAE,14219
Angola,71
Burkina Faso,104
Bahrain,2589
Burundi,46
Benin,73
Botswana,1472
Democratic Republic of the Congo,133
Central African Republic,2
Congo,63
Cote d'Ivoire,94
Cameroon,124
Cape Verde,5
Djibouti,31
Algeria,143
Egypt,3398
Western Sahara,12
Eritrea,51
Ethiopia,1801
Gabon,106
Ghana,693
Gambia,107
Guinea,29
Equatorial Guinea,11
Guinea-Bissau,5
Israel,4755
British Indian Ocean Territory,3
Iraq,3674
Iran,4278
Jordan,3659
Kenya,4588
Comoros,2
Kuwait,2319
Lebanon,1113
Liberia,54
Lesotho,127
Libya,545
Morocco,254
Madagascar,87
Mali,14
Mauritania,12
Mauritius,537
Malawi,549
Mozambique,223
Namibia,534
Niger,133
Nigeria,1306
Oman,3122
Palestine,133
Qatar,2412
Reunion,73
Rwanda,70
Saudi Arabia,11096
Seychelles,274
Sudan,1388
St Helena,34
Sierra Leone,98
Senegal,79
Somalia,581
South Sudan,10
Sao Tome and Principe,1
Syria,1828
Swaziland,216
Chad,73
Togo,26
Tunisia,99
Turkey,2205
Tanzania,1584
Uganda,578
South Yemen,8
Yemen,700
Mayotte,1
South Africa,61351
Zambia,1827
Zimbabwe,5769
Not stated,120349
All countries,3709647
