visa,country,sum
NZ and Australian citizens,Afghanistan,534
NZ and Australian citizens,Africa and the Middle East,35734
NZ and Australian citizens,Albania,59
NZ and Australian citizens,Algeria,70
NZ and Australian citizens,Andorra,50
NZ and Australian citizens,Angola,90
NZ and Australian citizens,Anguilla,32
NZ and Australian citizens,Antarctica,38
NZ and Australian citizens,Antigua and Barbuda,80
NZ and Australian citizens,Argentina,813
NZ and Australian citizens,Armenia,37
NZ and Australian citizens,Aruba,14
NZ and Australian citizens,Asia,118894
NZ and Australian citizens,Australia,808163
NZ and Australian citizens,Austria,1506
NZ and Australian citizens,Azerbaijan,72
NZ and Australian citizens,Bahamas,130
NZ and Australian citizens,Bahrain,1122
NZ and Australian citizens,Bangladesh,477
NZ and Australian citizens,Barbados,112
NZ and Australian citizens,Belarus,20
NZ and Australian citizens,Belgium,1353
NZ and Australian citizens,Belize,62
NZ and Australian citizens,Benin,4
NZ and Australian citizens,Bermuda,460
NZ and Australian citizens,Bhutan,56
NZ and Australian citizens,Bolivia,284
NZ and Australian citizens,Botswana,236
NZ and Australian citizens,Brazil,1571
NZ and Australian citizens,British Indian Ocean Territory,0
NZ and Australian citizens,Brunei Darussalam,1435
NZ and Australian citizens,Bulgaria,154
NZ and Australian citizens,Burkina Faso,78
NZ and Australian citizens,Burundi,10
NZ and Australian citizens,Cambodia,1944
NZ and Australian citizens,Canada,29914
NZ and Australian citizens,Cayman Islands,570
NZ and Australian citizens,Chad,40
NZ and Australian citizens,Chile,1258
NZ and Australian citizens,China,20923
NZ and Australian citizens,Christmas Island,12
NZ and Australian citizens,Colombia,505
NZ and Australian citizens,Democratic Republic of the Congo,26
NZ and Australian citizens,Cook Islands,21734
NZ and Australian citizens,Costa Rica,140
NZ and Australian citizens,Cote d'Ivoire,18
NZ and Australian citizens,Croatia,414
NZ and Australian citizens,Cuba,22
NZ and Australian citizens,Cyprus,226
NZ and Australian citizens,Czechia,692
NZ and Australian citizens,Czechoslovakia,88
NZ and Australian citizens,Denmark,1354
NZ and Australian citizens,Djibouti,2
NZ and Australian citizens,Ecuador,288
NZ and Australian citizens,Egypt,954
NZ and Australian citizens,Eritrea,28
NZ and Australian citizens,Estonia,73
NZ and Australian citizens,Ethiopia,360
NZ and Australian citizens,Europe,327770
NZ and Australian citizens,Faeroe Islands,16
NZ and Australian citizens,Falkland Islands,120
NZ and Australian citizens,Fiji,7332
NZ and Australian citizens,Finland,440
NZ and Australian citizens,France,8465
NZ and Australian citizens,French Polynesia,467
NZ and Australian citizens,Gambia,42
NZ and Australian citizens,Georgia,66
NZ and Australian citizens,Germany,9070
NZ and Australian citizens,Ghana,292
NZ and Australian citizens,Greece,892
NZ and Australian citizens,Grenada,30
NZ and Australian citizens,Guadeloupe,8
NZ and Australian citizens,Guam,126
NZ and Australian citizens,Guatemala,132
NZ and Australian citizens,Guyana,36
NZ and Australian citizens,Honduras,46
NZ and Australian citizens,Hong Kong (Special Administrative Region),13753
NZ and Australian citizens,Hungary,438
NZ and Australian citizens,Iceland,220
NZ and Australian citizens,India,8431
NZ and Australian citizens,Indonesia,3920
NZ and Australian citizens,Iran,744
NZ and Australian citizens,Ireland,11972
NZ and Australian citizens,Israel,1165
NZ and Australian citizens,Italy,2993
NZ and Australian citizens,Jamaica,76
NZ and Australian citizens,Japan,15312
NZ and Australian citizens,Jordan,684
NZ and Australian citizens,Kenya,623
NZ and Australian citizens,Kiribati,394
NZ and Australian citizens,South Korea,9356
NZ and Australian citizens,Kosovo,96
NZ and Australian citizens,Kuwait,614
NZ and Australian citizens,Kyrgyzstan,58
NZ and Australian citizens,Laos,327
NZ and Australian citizens,Lebanon,366
NZ and Australian citizens,Macau (Special Administrative Region),427
NZ and Australian citizens,Malaysia,4352
NZ and Australian citizens,Mali,61
NZ and Australian citizens,Malta,204
NZ and Australian citizens,Marshall Islands,108
NZ and Australian citizens,Mexico,1355
NZ and Australian citizens,Monaco,100
NZ and Australian citizens,Mongolia,262
NZ and Australian citizens,Montenegro,34
NZ and Australian citizens,Morocco,178
NZ and Australian citizens,Myanmar,403
NZ and Australian citizens,Nepal,352
NZ and Australian citizens,Netherlands,6393
NZ and Australian citizens,Netherlands Antilles,27
NZ and Australian citizens,New Caledonia,615
NZ and Australian citizens,New Zealand,7781
NZ and Australian citizens,Niger,52
NZ and Australian citizens,Nigeria,340
NZ and Australian citizens,Niue,3538
NZ and Australian citizens,Norfolk Island,834
NZ and Australian citizens,North Macedonia,136
NZ and Australian citizens,Norway,972
NZ and Australian citizens,Not Stated,274037
NZ and Australian citizens,Oceania and Antarctica,885721
NZ and Australian citizens,Pakistan,1072
NZ and Australian citizens,Panama,144
